Name,City,State
Chouksey Engineering College,Bilaspur,Chhattisgarh
Government Engineering College Bilaspur,Bilaspur,Chhattisgarh
Guru Ghasidas Vishwavidyalaya,BILASPUR (Chhattisgarh),Chhattisgarh
Bhilai Institute of Technology,Durg,Chhattisgarh
Chhatrapati Shivaji Institute of Technology Kolihapuri,Durg,Chhattisgarh
"Government Engineering College, Jagdalpur",Jagdalpur,Chhattisgarh
OP Jindal University,Raigarh,Chhattisgarh
"Amity University, Raipur",Raipur,Chhattisgarh
Bhilai Institute of Technology,Raipur,Chhattisgarh
Government Engineering College Raipur,Raipur,Chhattisgarh
Indian Institute of Technology Bhilai,Raipur,Chhattisgarh
ITM University,RAIPUR,Chhattisgarh
MATS University,Raipur,Chhattisgarh
"National Institute of Technology, Raipur",Raipur,Chhattisgarh
Shri Shankaracharya Institute of Professional Management & Technology,Raipur,Chhattisgarh
Bhagwan Parshuram Institute of Technology,Delhi,Delhi
Indira Gandhi Delhi Technical University for Women,Delhi,Delhi
Maharaja Agrasen Institute of Technology,Delhi,Delhi
National Institute of Technology Delhi,Delhi,Delhi
Dr Akhilesh Das Gupta Institute of Technology & Management,East Delhi,Delhi
BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING,New Delhi,Delhi
Delhi Technological University,North West,Delhi
Guru Gobind Singh Indraprastha University,New Delhi,Delhi
Indian Institute of Technology Delhi,New Delhi,Delhi
Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi
Jamia Hamdard,New Delhi,Delhi
Jamia Millia Islamia,New Delhi,Delhi
Maharaja Surajmal Institute of Technology,New Delhi,Delhi
HMR Institute of Technology & Management,North West,Delhi
Netaji Subhas University of Technology (NSUT),South West,Delhi
Agnel Institute of Technology and Design,Assagao,Goa
Goa College of Engineering (Government of Goa),Ponda,Goa
National Institute of Technology Goa,Ponda,Goa
"DON BOSCO COLLEGE OF ENGINEERING, FATORDA, MARGAO",South Goa,Goa
Padre Conceicao College of Engineering,Verna,Goa
Aditya Silver Oak Institute of Technology,Ahmadabad,Gujarat
L.J.Institue of Engineering and technology (SFI)-Ahmedabad 032,Ahmadabad,Gujarat
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD 002",Ahmedabad,Gujarat
Gujarat Technological University,Ahmedabad,Gujarat
Institute of Infrastructure Technology Research and Management (IITRAM),Ahmedabad,Gujarat
"L.D.College of Engineering, Ahmedabad 028.",Ahmedabad,Gujarat
Nirma University,Ahmedabad,Gujarat
SAL INSTITUTE OF TECHNOLOGY & ENGINEERING RESEARCH,Ahmedabad,Gujarat
A. D. Patel Institute of Technology,Anand,Gujarat
SARDAR PATEL COLLEGE OF ENGINEERING,Anand,Gujarat
Chhotubhai Gopalbhai Patel Institute of Technology,Bardoli,Gujarat
Government Engineering College,Bharuch,Gujarat
Shantilal Shah Engineering College,Bhavnagar,Gujarat
Chandubhai S. Patel Institute of Technology,Changa,Gujarat
Government Engineering College,Dohad,Gujarat
Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar,Gujarat
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat
Indus University,Gandhinagar,Gujarat
Pandit Deendayal Energy University,Gandhinagar,Gujarat
Ganpat University,"Ganpat Vidyanagar, Mehsana",Gujarat
Government Engineering College,Godhra,Gujarat
Swaminarayan College of Engineering and Technology,Kalol-382721,Gujarat
GUJARAT POWER ENGINEERING & RESEARCH INSTITUTE (104),Mehsana,Gujarat
"Government Engineering College, Modasa",Modasa,Gujarat
Lukhdhirji Engineering College,Morbi,Gujarat
GANDHINAGAR INSTITUTE OF TECHNOLOGY,Moti Bhoyan,Gujarat
Dharmsinh Desai University,Nadiad,Gujarat
G. I. D. C. Degree Enginering College,Navsari,Gujarat
Madhuben and Bhanubhai Patel Institute of Technology,New Vallabh Vidyanagar,Gujarat
Government Engineering College,Palanpur,Gujarat
DR. V. R. GODHANIA COLLEGE OFENGINEERING & TECHNOLOGY,Porbandar,Gujarat
Darshan Institute of Engineering & Technology,Rajkot,Gujarat
Government Engineering College,Rajkot,Gujarat
Marwadi University,Rajkot,Gujarat
Gokul Global University,siddhpur,Gujarat
Bhagwan Mahavir College of Engineering and Technology,Surat,Gujarat
C.K.PITHAWALA COLLEGE OF ENGINEERING AND TECHNOLOGY,Surat,Gujarat
"Dr. S. & S. S. Ghandhy Government Engineering College, Surat",Surat,Gujarat
P.P. Savani University,Surat,Gujarat
Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat
Sarvajanik College of Engineering & Technology,Surat,Gujarat
Shree Swami Atmanand Saraswati Institute of Technology,Surat,Gujarat
"VIDHYADEEP INSTITUTE OF ENGINEERING AND TECHNOLOGY, 094",SURAT,Gujarat
"ITM Vocational University, Vadodara",Vadodara,Gujarat
Krishna School of Emerging Technology & Applied Research,VADODARA,Gujarat
Maharaja Sayajirao University of Baroda,Vadodara,Gujarat
Shroff S. R. Rotary Institute of Chemical Technology,Valia,Gujarat
Birla Vishvakarma Mahavidyalaya,Vallabh Vidyanagar,Gujarat
G H PATEL COLLEGE OF ENGINEERING & TECHNOLOGY,Vallabh Vidyanagar,Gujarat
"GOVERNMENT ENGINEERING COLLEGE, VALSAD 019",Valsad,Gujarat
"Laxmi Institute of Technology, Valsad",Valsad,Gujarat
"Sankalchand Patel University, Visnagar",Visnagar,Gujarat
Maharishi Markandeshwar,Ambala,Haryana
Ambala College of Engineering & Applied Research,Ambala Cantt -133101,Haryana
"J. C. Bose University of Science and Technology, YMCA",Faridabad,Haryana
Manav Rachna International Institute of Research & Studies,Faridabad,Haryana
Manav Rachna University,Faridabad,Haryana
Dronacharya College of Engineering,Gurgaon,Haryana
G. D. Goenka University,Gurgaon,Haryana
Global Institute of Technology & Management,Gurgaon,Haryana
K. R. Mangalam University,Gurugram,Haryana
The Northcap University,Gurugram,Haryana
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana
College of Agricultural Engineering & Technology,Hisar,Haryana
"Guru Jambheshwar University of Science and Technology, Hissar",Hisar,Haryana
Delhi Global Institute of Technology,Jhajjar,Haryana
Ganga Institute of Technology & Management,Jhajjar,Haryana
Kurukshetra University,Kurukshetra,Haryana
National Institute of Technology Kurukshetra,Kurukshetra,Haryana
Central University of Haryana,Mahendergarh,Haryana
Asia Pacific Institute of Information Technology,Panipat,Haryana
Panipat Institute of Engineering & Technology,Panipat,Haryana
JAI PARKASH MUKAND LAL INNOVATIVE ENGINEERING AND TECHNOLOGY INSTITUTE,Radaur-135133,Haryana
"Maharshi Dayanand University, Rohtak",Rohtak,Haryana
Ch. Devi Lal State Institute of Engineering,Sirsa,Haryana
SRM University Delhi - NCR,Sonepat,Haryana
Bhagat Phool Singh Mahila Vishwavidyalaya (WOMEN UNIVERSITY),Sonipat,Haryana
Deenbandhu Chhotu Ram University of Science & Technology,Sonipat,Haryana
"National Institute of Food Technology, Enterprenurship & Management",Sonipat,Haryana
Seth Jai Parkash Mukand Lal Inst. of Engineering & Technology,Yamunanagar,Haryana
National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh
"Himalayan Institute of Engineering & Technology, Sadhoura Road, Kala Amb. Distt Sirmour",Kala-Amb,Himachal Pradesh
Rajiv Gandhi Govt. Engineering College,Kangra,Himachal Pradesh
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh
Jawaharlal Nehru Govt.Engineering College,Mandi,Himachal Pradesh
GOVT. ENGINEERING COLLEGE KOTLA (JEORI),Shimla,Himachal Pradesh
"Baddi University of Emerging Sciences and Technology, Baddi (Makhnumajra), Solan",Solan,Himachal Pradesh
Chitkara University,Solan,Himachal Pradesh
Jaypee University of Information Technology,Solan,Himachal Pradesh
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh
"K.C. Education and Socail Welfare Society Group of Research & Professional Institutes, VPO pandoga, Uparla Tehsil & Distt Una",Una,Himachal Pradesh
SSM College of Engineering,Baramula,Jammu and Kashmir
Government College of Engineering & Technology,Jammu,Jammu and Kashmir
Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir
Model Institute of Engineering and Technology,Jammu,Jammu and Kashmir
Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir
"Islamic University of Science & Technology, Pulwama",Pulwama,Jammu and Kashmir
Baba Ghulam Shah Badshah University,Rajouri,Jammu and Kashmir
National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir
Guru Gobind Singh Educational Society's Technical Campus,Bokaro,Jharkhand
Techno India Chaibasa,Chaibasa,Jharkhand
B I T SINDRI,Dhanbad,Jharkhand
Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand
Dumka Engineering College(ESTD. By Govt. of Jharkhand & Run by Techno India under PPP),Dumka,Jharkhand
Vinoba Bhave University,Hazaribag,Jharkhand
"National Institute of Technology, Jamshedpur",Jamshedpur,Jharkhand
"R.V.S Engineering College, Jamshedpur",Purbi Singhbhum,Jharkhand
Techno India Ramgarh,Ramgarh,Jharkhand
Birla Institute of Technology,Ranchi,Jharkhand
Cambridge Institute of Technology,Ranchi,Jharkhand
"National Institute of Advanced Manufacturing Technology, Ranchi",Ranchi,Jharkhand
RTC Institute of Technology,Ranchi,Jharkhand
"The Institute of Chartered Financial Analysts of India University, Jharkhand",Ranchi,Jharkhand
Basaveshwar Engineering College,Bagalkot,Karnataka
Rao Bahaddur Y Mahabaleshwarappa Engineering College,Ballari,Karnataka
"Adarsha Institute of Technology, Lingadjeera Gollahalli, Devanahalli",Bangalore,Karnataka
"Bangalore Institute of Technology, Bangalore",Bangalore,Karnataka
Bangalore University,Bangalore,Karnataka
"City Engineering College, BANGALORE",Bangalore,Karnataka
M.S. Ramaiah University of Applied Sciences,Bangalore,Karnataka
Sambhram Institute of Technology,Bangalore,Karnataka
"SEA College of Engineering & Technology, BANGALORE",Bangalore,Karnataka
"Sri Krishana Institute of Technology, BANGALORE",Bangalore,Karnataka
University Visvesvaraya College of Engineering,Bangalore,Karnataka
"Vivekananda Institute of Technology, Bangalore",Bangalore Rural,Karnataka
SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Bantakal,Karnataka
Angadi Instittute of Technology and Management,Belagavi,Karnataka
"Gogte Institute of Technology, BELGAUM",Belagavi,Karnataka
"Jain College of Engineering, BELGAUM",Belgaum,Karnataka
Visvesvaraya Technological University,Belgaum,Karnataka
Ballari Institute of Technology & Management,Bellary,Karnataka
"Proudadevaraya Institute of Technology, HOSPET",Bellary,Karnataka
Acharya Institute of Technology,Bengaluru,Karnataka
ACS COLLEGE OF ENGINEERING,Bengaluru,Karnataka
Alliance University,Bengaluru,Karnataka
Atria Institute of Technology,Bengaluru,Karnataka
B.M.S. College of Engineering,Bengaluru,Karnataka
BMS Institute of Technology & Management,Bengaluru,Karnataka
BNM INSTITUTE OF TECHNOLOGY,Bengaluru,Karnataka
C M R Institute of Technology,Bengaluru,Karnataka
Cambridge Institute of Technology,Bengaluru,Karnataka
Christ University,Bengaluru,Karnataka
Dayananda Sagar Academy of Technology & Management Technical Campus,Bengaluru,Karnataka
Dayananda Sagar College of Engineering,Bengaluru,Karnataka
Dayananda Sagar University,Bengaluru,Karnataka
"Don Bosco Institute of Technology, BANGALORE",Bengaluru,Karnataka
Dr. Ambedkar Institute of Technology,Bengaluru,Karnataka
East West Institute of Technology,Bengaluru,Karnataka
Global Academy of Technology,Bengaluru,Karnataka
GOPALAN COLLEGE OF ENGINEERING AND MANAGEMENT,Bengaluru,Karnataka
International Institute of Information Technology Bangalore,Bengaluru,Karnataka
"Jain university,Bangalore",Bengaluru,Karnataka
JSS academy of Technical Education,Bengaluru,Karnataka
JYOTHY INSTITUTE OF TECHNOLOGY,Bengaluru,Karnataka
"K S Institute of Technology, BANGALORE",Bengaluru,Karnataka
K.S. School of Engineering and Management,Bengaluru,Karnataka
M.S. Ramaiah Institute of Technology,Bengaluru,Karnataka
MVJ College of Engineering,Bengaluru,Karnataka
"Nagarjuna College of Engg. & Technology, BANGALORE",Bengaluru,Karnataka
New Horizon College of Engineering,Bengaluru,Karnataka
Nitte Meenakshi Institute of Technology,Bengaluru,Karnataka
PES University,Bengaluru,Karnataka
"Presidency University , Bengaluru",Bengaluru,Karnataka
R. N. S. Institute of Technology,Bengaluru,Karnataka
R. R. Institute of Technology,Bengaluru,Karnataka
R.V. College of Engineering,Bengaluru,Karnataka
Reva University,Bengaluru,Karnataka
Sai Vidya Institute of Technology,Bengaluru,Karnataka
"Sir M Visvesvaraya Institute of Technology, BANGALORE",Bengaluru,Karnataka
SJB Institute Of Technology,Bengaluru,Karnataka
Sri Sairam College of Engineering,Bengaluru,Karnataka
SRI VENKATESHWARA COLLEGE OF ENGINEERING,Bengaluru,Karnataka
T John Institute Of Technology,Bengaluru,Karnataka
The Oxford College of Engineering,Bengaluru,Karnataka
Vemana Institute of Technology,Bengaluru,Karnataka
"Guru Nanak Dev Engineering College, BIDAR",Bidar,Karnataka
S J C INSTITUTE OF TECHNOLOGY,Chickballapur,Karnataka
Adichunchanagiri Institute of Technology,Chikmagalur,Karnataka
KLE Society`s College of Engineering & Technology,Chikodi,Karnataka
"Alvas Institute of Engineering and Technology, MOODBIDRI",Dakshina Kannada,Karnataka
Srinivas University,Dakshina Kannada,Karnataka
"JAIN INSTITUTE OF TECHNOLOGY, DAVANAGERE",Davanagere,Karnataka
BAPUJI INSTITUTE OF ENGINEERING & TECHNOLOGY,Davangere,Karnataka
"Indian Institute of Information Technology, Dharwad",Dharwad,Karnataka
Indian Institute Of Technology Dharwad,Dharwad,Karnataka
KLE Technological University,Dharwad,Karnataka
S. D. M. College of Engineering & Technology,Dharwad,Karnataka
"KLS Vishwanathrao Deshpande Institute of Technology, Haliyal",Haliyal,Karnataka
"Govt. Engineering College, Hassan",Hassan,Karnataka
"Malnad College of Engineering, HASSAN",Hassan,Karnataka
Government Engineering College,Haveri,Karnataka
K.L.E.INSTITUTE OF TECHNOLOGY,Hubballi,Karnataka
"P D A College of Engineering, GULBARGA",Kalaburagi,Karnataka
Sharnbasva University,Kalaburagi,Karnataka
Dr. T. Thimmaiah Institute of Technology,KGF,Karnataka
"Smt. Kamala & Vekappa M Agadi College of Engg. & Technology, Lakshmeshwara",Laxmeshwar,Karnataka
B. G. S. Institute of Technology,Mandya,Karnataka
G. Madegowda Institute of Technology,Mandya,Karnataka
"Maharaja Institute of Tech., Mysore",Mandya,Karnataka
"P E S College of Engineering, MANDYA",Mandya,Karnataka
A J Institute of Engineering and Technology Mangaluru,Mangaluru,Karnataka
Canara Engineering College,Mangaluru,Karnataka
Mangalore Institute of Technology & Engineering,Mangaluru,Karnataka
St. Joseph Engineering College,Mangaluru,Karnataka
